gu,office_worker_pct,women_pct,20to39_pct
강남구,62.9,52.23,26.65
강동구,58.0,51.24,27.1
강북구,55.2,52.1,25.78
강서구,56.9,52.24,30.91
관악구,59.4,50.07,41.49
광진구,59.5,52.43,35.36
구로구,57.5,50.77,27.79
금천구,57.9,49.67,31.59
노원구,57.7,52.16,25.79
도봉구,55.3,51.82,24.29
동대문구,58.0,51.78,33.97
동작구,59.1,51.97,33.57
마포구,61.6,53.83,34.53
서대문구,59.6,53.55,32.45
서초구,65.3,52.49,26.03
성동구,62.0,51.84,32.03
성북구,56.3,52.45,29.64
송파구,60.7,52.11,28.82
양천구,59.4,51.34,23.69
영등포구,61.8,50.9,33.74
용산구,63.2,51.95,31.97
은평구,56.9,52.76,27.38
종로구,64.1,52.35,32.19
중구,64.2,52.0,33.51
중랑구,56.1,51.22,28.17
